|   bore |   Count |   Percentage |
|-------:|--------:|-------------:|
|   3.62 |      23 |        11.68 |
|   3.19 |      20 |        10.15 |
|   3.15 |      15 |         7.61 |
|   2.97 |      12 |         6.09 |
|   3.03 |      10 |         5.08 |
|   3.46 |       9 |         4.57 |
|   3.31 |       8 |         4.06 |
|   3.78 |       8 |         4.06 |
|   3.43 |       8 |         4.06 |
|   3.27 |       7 |         3.55 |
|   2.91 |       7 |         3.55 |
|   3.58 |       6 |         3.05 |
|   3.39 |       6 |         3.05 |
|   3.05 |       6 |         3.05 |
|   3.54 |       6 |         3.05 |
|   3.01 |       5 |         2.54 |
|   3.7  |       5 |         2.54 |
|   3.35 |       4 |         2.03 |
|   3.74 |       3 |         1.52 |
|   3.59 |       3 |         1.52 |
|   3.17 |       3 |         1.52 |
|   3.33 |       2 |         1.02 |
|   3.24 |       2 |         1.02 |
|   3.47 |       2 |         1.02 |
|   3.8  |       2 |         1.02 |
|   3.63 |       2 |         1.02 |
|   3.5  |       2 |         1.02 |
|   2.68 |       1 |         0.51 |
|   3.08 |       1 |         0.51 |
|   2.99 |       1 |         0.51 |
|   2.92 |       1 |         0.51 |
|   3.61 |       1 |         0.51 |
|   3.94 |       1 |         0.51 |
|   3.6  |       1 |         0.51 |
|   2.54 |       1 |         0.51 |
|   3.34 |       1 |         0.51 |
|   3.13 |       1 |         0.51 |
|   3.76 |       1 |         0.51 |
