|   horsepower |   Count |   Percentage |
|-------------:|--------:|-------------:|
|           68 |      19 |         9.55 |
|           69 |      10 |         5.03 |
|          116 |       9 |         4.52 |
|           70 |       9 |         4.52 |
|          110 |       8 |         4.02 |
|           95 |       7 |         3.52 |
|          114 |       6 |         3.02 |
|          101 |       6 |         3.02 |
|           62 |       6 |         3.02 |
|           88 |       6 |         3.02 |
|           76 |       5 |         2.51 |
|           97 |       5 |         2.51 |
|           82 |       5 |         2.51 |
|           84 |       5 |         2.51 |
|          145 |       5 |         2.51 |
|          160 |       5 |         2.51 |
|          102 |       5 |         2.51 |
|          123 |       4 |         2.01 |
|          111 |       4 |         2.01 |
|           86 |       4 |         2.01 |
|           92 |       4 |         2.01 |
|           90 |       3 |         1.51 |
|           73 |       3 |         1.51 |
|          207 |       3 |         1.51 |
|           85 |       3 |         1.51 |
|          182 |       3 |         1.51 |
|          121 |       3 |         1.51 |
|          152 |       3 |         1.51 |
|          112 |       2 |         1.01 |
|           56 |       2 |         1.01 |
|          161 |       2 |         1.01 |
|           94 |       2 |         1.01 |
|          156 |       2 |         1.01 |
|           52 |       2 |         1.01 |
|          162 |       2 |         1.01 |
|          155 |       2 |         1.01 |
|          176 |       2 |         1.01 |
|          184 |       2 |         1.01 |
|          100 |       2 |         1.01 |
|           55 |       1 |         0.5  |
|          134 |       1 |         0.5  |
|          115 |       1 |         0.5  |
|          140 |       1 |         0.5  |
|           48 |       1 |         0.5  |
|           58 |       1 |         0.5  |
|           60 |       1 |         0.5  |
|           78 |       1 |         0.5  |
|          262 |       1 |         0.5  |
|          175 |       1 |         0.5  |
|          135 |       1 |         0.5  |
|           64 |       1 |         0.5  |
|          120 |       1 |         0.5  |
|           72 |       1 |         0.5  |
|          154 |       1 |         0.5  |
|          143 |       1 |         0.5  |
|          142 |       1 |         0.5  |
|          200 |       1 |         0.5  |
|          106 |       1 |         0.5  |
