|   normalized-losses |   Count |   Percentage |
|--------------------:|--------:|-------------:|
|                 161 |      11 |         6.71 |
|                  91 |       8 |         4.88 |
|                 150 |       7 |         4.27 |
|                 128 |       6 |         3.66 |
|                 134 |       6 |         3.66 |
|                 104 |       6 |         3.66 |
|                  95 |       5 |         3.05 |
|                 102 |       5 |         3.05 |
|                 103 |       5 |         3.05 |
|                  74 |       5 |         3.05 |
|                  85 |       5 |         3.05 |
|                 168 |       5 |         3.05 |
|                  94 |       5 |         3.05 |
|                  65 |       5 |         3.05 |
|                 106 |       4 |         2.44 |
|                 122 |       4 |         2.44 |
|                 148 |       4 |         2.44 |
|                 118 |       4 |         2.44 |
|                  93 |       4 |         2.44 |
|                 101 |       3 |         1.83 |
|                 125 |       3 |         1.83 |
|                 137 |       3 |         1.83 |
|                 154 |       3 |         1.83 |
|                  83 |       3 |         1.83 |
|                 115 |       3 |         1.83 |
|                 119 |       2 |         1.22 |
|                  87 |       2 |         1.22 |
|                 194 |       2 |         1.22 |
|                 197 |       2 |         1.22 |
|                 108 |       2 |         1.22 |
|                  89 |       2 |         1.22 |
|                 164 |       2 |         1.22 |
|                 158 |       2 |         1.22 |
|                 145 |       2 |         1.22 |
|                 192 |       2 |         1.22 |
|                 188 |       2 |         1.22 |
|                  81 |       2 |         1.22 |
|                 110 |       2 |         1.22 |
|                 113 |       2 |         1.22 |
|                 129 |       2 |         1.22 |
|                 153 |       2 |         1.22 |
|                 107 |       1 |         0.61 |
|                  78 |       1 |         0.61 |
|                 186 |       1 |         0.61 |
|                 231 |       1 |         0.61 |
|                  77 |       1 |         0.61 |
|                  98 |       1 |         0.61 |
|                 121 |       1 |         0.61 |
|                  90 |       1 |         0.61 |
|                 142 |       1 |         0.61 |
|                 256 |       1 |         0.61 |
