|   stroke |   Count |   Percentage |
|---------:|--------:|-------------:|
|     3.4  |      19 |         9.64 |
|     3.03 |      14 |         7.11 |
|     3.23 |      14 |         7.11 |
|     3.15 |      14 |         7.11 |
|     3.39 |      13 |         6.6  |
|     2.64 |      11 |         5.58 |
|     3.29 |       9 |         4.57 |
|     3.35 |       9 |         4.57 |
|     3.46 |       8 |         4.06 |
|     3.07 |       6 |         3.05 |
|     3.58 |       6 |         3.05 |
|     3.5  |       6 |         3.05 |
|     3.27 |       6 |         3.05 |
|     3.41 |       6 |         3.05 |
|     3.19 |       6 |         3.05 |
|     3.52 |       5 |         2.54 |
|     3.64 |       5 |         2.54 |
|     3.47 |       4 |         2.03 |
|     3.86 |       4 |         2.03 |
|     3.54 |       4 |         2.03 |
|     3.9  |       3 |         1.52 |
|     3.11 |       3 |         1.52 |
|     2.9  |       3 |         1.52 |
|     3.08 |       2 |         1.02 |
|     2.19 |       2 |         1.02 |
|     2.68 |       2 |         1.02 |
|     3.1  |       2 |         1.02 |
|     4.17 |       2 |         1.02 |
|     2.8  |       2 |         1.02 |
|     3.12 |       1 |         0.51 |
|     3.21 |       1 |         0.51 |
|     2.07 |       1 |         0.51 |
|     2.36 |       1 |         0.51 |
|     3.16 |       1 |         0.51 |
|     2.76 |       1 |         0.51 |
|     2.87 |       1 |         0.51 |
