Summary Statistics for All Numeric Columns:

| Statistic                   |     symboling |    wheel-base |       length |         width |      height |     curb-weight |    engine-size |   compression-ratio |      city-mpg |   highway-mpg |           price |
|-----------------------------|---------------|---------------|--------------|---------------|-------------|-----------------|----------------|---------------------|---------------|---------------|-----------------|
| Count                       | 201           | 201           | 201          | 201           | 201         |    201          |  201           |       201           | 201           | 201           |   201           |
| Unique                      |   6           |  52           |  73          |  43           |  49         |    169          |   43           |        32           |  29           |  30           |   186           |
| Mean                        |   0.840796    |  98.797       | 174.201      |  65.8891      |  53.7667    |   2555.67       |  126.876       |        10.1643      |  25.1791      |  30.6866      | 13207.1         |
| Std                         |   1.2548      |   6.06637     |  12.3222     |   2.10147     |   2.44782   |    517.297      |   41.5468      |         4.00497     |   6.42322     |   6.81515     |  7947.07        |
| Min                         |  -2           |  86.6         | 141.1        |  60.3         |  47.8       |   1488          |   61           |         7           |  13           |  16           |  5118           |
| 25%                         |   0           |  94.5         | 166.8        |  64.1         |  52         |   2169          |   98           |         8.6         |  19           |  25           |  7775           |
| 50%                         |   1           |  97           | 173.2        |  65.5         |  54.1       |   2414          |  120           |         9           |  24           |  30           | 10295           |
| 75%                         |   2           | 102.4         | 183.5        |  66.6         |  55.5       |   2926          |  141           |         9.4         |  30           |  34           | 16500           |
| Max                         |   3           | 120.9         | 208.1        |  72           |  59.8       |   4066          |  326           |        23           |  49           |  54           | 45400           |
| Mode                        |   0           |  93.7         | 157.3        |  63.8         |  50.8       |   2385          |   92           |         9           |  31           |  25           |  5572           |
| Range                       |   5           |  34.3         |  67          |  11.7         |  12         |   2578          |  265           |        16           |  36           |  38           | 40282           |
| IQR                         |   2           |   7.9         |  16.7        |   2.5         |   3.5       |    757          |   43           |         0.8         |  11           |   9           |  8725           |
| Variance                    |   1.57453     |  36.8008      | 151.836      |   4.41618     |   5.99183   | 267596          | 1726.14        |        16.0397      |  41.2578      |  46.4463      |     6.31559e+07 |
| Skewness                    |   0.19737     |   1.03126     |   0.154446   |   0.875029    |   0.0291733 |      0.705804   |    1.97914     |         2.58446     |   0.680433    |   0.549507    |     1.80968     |
| Kurtosis                    |  -0.707178    |   0.948445    |  -0.0651916  |   0.678655    |  -0.432908  |      0.0349156  |    5.49749     |         5.06887     |   0.753968    |   0.561171    |     3.23154     |
| Shapiro-Wilk Test Statistic |   0.917595    |   0.913316    |   0.981589   |   0.923721    |   0.983955  |      0.952501   |    0.826732    |         0.496517    |   0.957049    |   0.972239    |     0.79852     |
| Shapiro-Wilk Test p-value   |   3.63696e-09 |   1.80663e-09 |   0.00976376 |   1.03114e-08 |   0.0217537 |      3.1427e-06 |    3.31765e-14 |         1.26283e-23 |   9.14098e-06 |   0.000518068 |     2.21604e-15 |
