|   peak-rpm |   Count |   Percentage |
|-----------:|--------:|-------------:|
|       5500 |      36 |        18.09 |
|       4800 |      36 |        18.09 |
|       5000 |      27 |        13.57 |
|       5200 |      23 |        11.56 |
|       5400 |      11 |         5.53 |
|       6000 |       9 |         4.52 |
|       5800 |       7 |         3.52 |
|       5250 |       7 |         3.52 |
|       4500 |       7 |         3.52 |
|       4150 |       5 |         2.51 |
|       4200 |       5 |         2.51 |
|       4350 |       4 |         2.01 |
|       4750 |       4 |         2.01 |
|       5100 |       3 |         1.51 |
|       5900 |       3 |         1.51 |
|       4250 |       3 |         1.51 |
|       4400 |       3 |         1.51 |
|       6600 |       2 |         1.01 |
|       4650 |       1 |         0.5  |
|       5600 |       1 |         0.5  |
|       4900 |       1 |         0.5  |
|       5300 |       1 |         0.5  |
